date,section,row_name,count
03-28,age group,0 to 17,27
03-29,age group,0 to 17,34
03-30,age group,0 to 17,37
03-31,age group,0 to 17,27
04-01,age group,0 to 17,32
04-02,age group,0 to 17,36
04-03,age group,0 to 17,40
03-28,age group,18 to 40,674
03-29,age group,18 to 40,812
03-30,age group,18 to 40,918
03-31,age group,18 to 40,1101
04-01,age group,18 to 40,1228
04-02,age group,18 to 40,1385
04-03,age group,18 to 40,1538
03-28,age group,41 to 65,676
03-29,age group,41 to 65,797
03-30,age group,41 to 65,943
03-31,age group,41 to 65,1172
04-01,age group,41 to 65,1399
04-02,age group,41 to 65,1630
04-03,age group,41 to 65,1859
03-28,age group,over 65,343
03-29,age group,over 65,395
03-30,age group,over 65,467
03-31,age group,over 65,553
04-01,age group,over 65,669
04-02,age group,over 65,787
04-03,age group,over 65,907
04-03,age group,under investigation,32
03-31,age group,unknown,18
04-01,age group,unknown,24
04-02,age group,unknown,31
03-28,city/community,city of agoura hills,9
03-29,city/community,city of agoura hills,9
03-30,city/community,city of agoura hills,9
03-31,city/community,city of agoura hills,11
04-01,city/community,city of agoura hills,10
04-02,city/community,city of agoura hills,14
04-03,city/community,city of agoura hills,16
03-28,city/community,city of alhambra,10
03-29,city/community,city of alhambra,10
03-30,city/community,city of alhambra,11
03-31,city/community,city of alhambra,13
04-01,city/community,city of alhambra,13
04-02,city/community,city of alhambra,15
04-03,city/community,city of alhambra,17
03-28,city/community,city of arcadia,8
03-29,city/community,city of arcadia,9
03-30,city/community,city of arcadia,9
03-31,city/community,city of arcadia,10
04-01,city/community,city of arcadia,12
04-02,city/community,city of arcadia,12
04-03,city/community,city of arcadia,13
03-28,city/community,city of artesia,0
03-29,city/community,city of artesia,0
03-30,city/community,city of artesia,0
03-31,city/community,city of artesia,0
04-01,city/community,city of artesia,0
04-02,city/community,city of artesia,0
03-28,city/community,city of avalon,0
03-29,city/community,city of avalon,0
03-30,city/community,city of avalon,0
03-31,city/community,city of avalon,0
04-01,city/community,city of avalon,0
04-02,city/community,city of avalon,0
04-03,city/community,city of avalon,0
03-31,city/community,city of azusa,5
04-01,city/community,city of azusa,7
04-02,city/community,city of azusa,8
04-03,city/community,city of azusa,8
03-28,city/community,city of azuza,1
03-29,city/community,city of azuza,2
03-30,city/community,city of azuza,3
03-28,city/community,city of baldwin park,0
03-29,city/community,city of baldwin park,0
03-30,city/community,city of baldwin park,0
03-31,city/community,city of baldwin park,2
04-01,city/community,city of baldwin park,3
04-02,city/community,city of baldwin park,5
04-03,city/community,city of baldwin park,7
03-28,city/community,city of bell,5
03-29,city/community,city of bell,6
03-30,city/community,city of bell,11
03-31,city/community,city of bell,12
04-01,city/community,city of bell,12
04-02,city/community,city of bell,14
04-03,city/community,city of bell,14
03-28,city/community,city of bell gardens,1
03-29,city/community,city of bell gardens,1
03-30,city/community,city of bell gardens,2
03-31,city/community,city of bell gardens,4
04-01,city/community,city of bell gardens,5
04-02,city/community,city of bell gardens,5
04-03,city/community,city of bell gardens,8
03-28,city/community,city of bellflower,12
03-29,city/community,city of bellflower,14
03-30,city/community,city of bellflower,17
03-31,city/community,city of bellflower,20
04-01,city/community,city of bellflower,23
04-02,city/community,city of bellflower,24
04-03,city/community,city of bellflower,26
03-28,city/community,city of beverly hills,21
03-29,city/community,city of beverly hills,24
03-30,city/community,city of beverly hills,28
03-31,city/community,city of beverly hills,35
04-01,city/community,city of beverly hills,39
04-02,city/community,city of beverly hills,45
04-03,city/community,city of beverly hills,53
03-28,city/community,city of bradbury,0
03-29,city/community,city of bradbury,0
03-30,city/community,city of bradbury,0
03-31,city/community,city of bradbury,0
04-01,city/community,city of bradbury,0
04-02,city/community,city of bradbury,0
04-03,city/community,city of bradbury,0
03-28,city/community,city of burbank,17
03-29,city/community,city of burbank,19
03-30,city/community,city of burbank,21
03-31,city/community,city of burbank,27
04-01,city/community,city of burbank,39
04-02,city/community,city of burbank,41
04-03,city/community,city of burbank,50
03-28,city/community,city of calabasas,10
03-29,city/community,city of calabasas,10
03-30,city/community,city of calabasas,11
03-31,city/community,city of calabasas,13
04-01,city/community,city of calabasas,13
04-02,city/community,city of calabasas,13
04-03,city/community,city of calabasas,16
03-28,city/community,city of carson,26
03-29,city/community,city of carson,28
03-30,city/community,city of carson,35
03-31,city/community,city of carson,39
04-01,city/community,city of carson,44
04-02,city/community,city of carson,55
04-03,city/community,city of carson,63
03-28,city/community,city of cerritos,1
03-29,city/community,city of cerritos,4
03-30,city/community,city of cerritos,5
03-31,city/community,city of cerritos,6
04-01,city/community,city of cerritos,8
04-02,city/community,city of cerritos,10
04-03,city/community,city of cerritos,11
03-28,city/community,city of claremont,1
03-29,city/community,city of claremont,1
03-30,city/community,city of claremont,1
03-31,city/community,city of claremont,2
04-01,city/community,city of claremont,3
04-02,city/community,city of claremont,3
04-03,city/community,city of claremont,4
03-28,city/community,city of commerce,0
03-29,city/community,city of commerce,0
03-30,city/community,city of commerce,0
03-31,city/community,city of commerce,0
04-01,city/community,city of commerce,0
04-02,city/community,city of commerce,0
04-03,city/community,city of commerce,0
03-28,city/community,city of compton,9
03-29,city/community,city of compton,11
03-30,city/community,city of compton,13
03-31,city/community,city of compton,16
04-01,city/community,city of compton,19
04-02,city/community,city of compton,24
04-03,city/community,city of compton,26
03-28,city/community,city of covina,3
03-29,city/community,city of covina,6
03-30,city/community,city of covina,8
03-31,city/community,city of covina,7
04-01,city/community,city of covina,9
04-02,city/community,city of covina,11
04-03,city/community,city of covina,11
03-28,city/community,city of cudahy,0
03-29,city/community,city of cudahy,0
03-30,city/community,city of cudahy,0
03-31,city/community,city of cudahy,0
04-01,city/community,city of cudahy,0
04-02,city/community,city of cudahy,9
04-03,city/community,city of cudahy,10
03-28,city/community,city of culver city,7
03-29,city/community,city of culver city,9
03-30,city/community,city of culver city,14
03-31,city/community,city of culver city,15
04-01,city/community,city of culver city,17
04-02,city/community,city of culver city,19
04-03,city/community,city of culver city,20
03-28,city/community,city of diamond bar,2
03-29,city/community,city of diamond bar,3
03-30,city/community,city of diamond bar,3
03-31,city/community,city of diamond bar,3
04-01,city/community,city of diamond bar,6
04-02,city/community,city of diamond bar,7
04-03,city/community,city of diamond bar,8
03-28,city/community,city of downey,18
03-29,city/community,city of downey,19
03-30,city/community,city of downey,25
03-31,city/community,city of downey,31
04-01,city/community,city of downey,37
04-02,city/community,city of downey,43
04-03,city/community,city of downey,47
03-28,city/community,city of duarte,0
03-29,city/community,city of duarte,0
03-30,city/community,city of duarte,0
03-31,city/community,city of duarte,0
04-01,city/community,city of duarte,0
04-02,city/community,city of duarte,0
03-28,city/community,city of el monte,0
03-29,city/community,city of el monte,0
03-30,city/community,city of el monte,1
03-31,city/community,city of el monte,4
04-01,city/community,city of el monte,6
04-02,city/community,city of el monte,7
04-03,city/community,city of el monte,10
03-28,city/community,city of el segundo,0
03-29,city/community,city of el segundo,0
03-30,city/community,city of el segundo,0
03-31,city/community,city of el segundo,0
04-01,city/community,city of el segundo,0
04-02,city/community,city of el segundo,0
04-03,city/community,city of el segundo,5
03-28,city/community,city of gardena,6
03-29,city/community,city of gardena,6
03-30,city/community,city of gardena,7
03-31,city/community,city of gardena,12
04-01,city/community,city of gardena,14
04-02,city/community,city of gardena,17
04-03,city/community,city of gardena,20
03-28,city/community,city of glendale,36
03-29,city/community,city of glendale,46
03-30,city/community,city of glendale,62
03-31,city/community,city of glendale,76
04-01,city/community,city of glendale,86
04-02,city/community,city of glendale,93
04-03,city/community,city of glendale,103
03-28,city/community,city of glendora,4
03-29,city/community,city of glendora,6
03-30,city/community,city of glendora,6
03-31,city/community,city of glendora,7
04-01,city/community,city of glendora,7
04-02,city/community,city of glendora,7
04-03,city/community,city of glendora,10
03-28,city/community,city of hawaiian gardens,0
03-29,city/community,city of hawaiian gardens,0
03-30,city/community,city of hawaiian gardens,0
03-31,city/community,city of hawaiian gardens,0
04-01,city/community,city of hawaiian gardens,0
04-02,city/community,city of hawaiian gardens,0
03-28,city/community,city of hawthorne,11
03-29,city/community,city of hawthorne,11
03-30,city/community,city of hawthorne,13
03-31,city/community,city of hawthorne,19
04-01,city/community,city of hawthorne,22
04-02,city/community,city of hawthorne,26
04-03,city/community,city of hawthorne,30
03-28,city/community,city of hermosa beach,0
03-29,city/community,city of hermosa beach,6
03-30,city/community,city of hermosa beach,7
03-31,city/community,city of hermosa beach,9
04-01,city/community,city of hermosa beach,12
04-02,city/community,city of hermosa beach,15
04-03,city/community,city of hermosa beach,17
03-28,city/community,city of hidden hills,0
03-29,city/community,city of hidden hills,0
03-30,city/community,city of hidden hills,0
03-31,city/community,city of hidden hills,0
04-01,city/community,city of hidden hills,0
04-02,city/community,city of hidden hills,0
04-03,city/community,city of hidden hills,0
03-28,city/community,city of huntington park,2
03-29,city/community,city of huntington park,2
03-30,city/community,city of huntington park,4
03-31,city/community,city of huntington park,11
04-01,city/community,city of huntington park,13
04-02,city/community,city of huntington park,15
04-03,city/community,city of huntington park,16
03-28,city/community,city of industry,0
03-29,city/community,city of industry,0
03-30,city/community,city of industry,0
03-31,city/community,city of industry,0
04-01,city/community,city of industry,0
04-02,city/community,city of industry,0
