date,section,row_name,count
03-28,age group,0 to 17,27
03-29,age group,0 to 17,34
03-30,age group,0 to 17,37
03-28,age group,18 to 40,674
03-29,age group,18 to 40,812
03-30,age group,18 to 40,918
03-28,age group,41 to 65,676
03-29,age group,41 to 65,797
03-30,age group,41 to 65,943
03-28,age group,over 65,343
03-29,age group,over 65,395
03-30,age group,over 65,467
03-28,city/community,city of agoura hills,9
03-29,city/community,city of agoura hills,9
03-30,city/community,city of agoura hills,9
03-28,city/community,city of alhambra,10
03-29,city/community,city of alhambra,10
03-30,city/community,city of alhambra,11
03-28,city/community,city of arcadia,8
03-29,city/community,city of arcadia,9
03-30,city/community,city of arcadia,9
03-28,city/community,city of artesia,0
03-29,city/community,city of artesia,0
03-30,city/community,city of artesia,0
03-28,city/community,city of avalon,0
03-29,city/community,city of avalon,0
03-30,city/community,city of avalon,0
03-28,city/community,city of azuza,1
03-29,city/community,city of azuza,2
03-30,city/community,city of azuza,3
03-28,city/community,city of baldwin park,0
03-29,city/community,city of baldwin park,0
03-30,city/community,city of baldwin park,0
03-28,city/community,city of bell,5
03-29,city/community,city of bell,6
03-30,city/community,city of bell,11
03-28,city/community,city of bell gardens,1
03-29,city/community,city of bell gardens,1
03-30,city/community,city of bell gardens,2
03-28,city/community,city of bellflower,12
03-29,city/community,city of bellflower,14
03-30,city/community,city of bellflower,17
03-28,city/community,city of beverly hills,21
03-29,city/community,city of beverly hills,24
03-30,city/community,city of beverly hills,28
03-28,city/community,city of bradbury,0
03-29,city/community,city of bradbury,0
03-30,city/community,city of bradbury,0
03-28,city/community,city of burbank,17
03-29,city/community,city of burbank,19
03-30,city/community,city of burbank,21
03-28,city/community,city of calabasas,10
03-29,city/community,city of calabasas,10
03-30,city/community,city of calabasas,11
03-28,city/community,city of carson,26
03-29,city/community,city of carson,28
03-30,city/community,city of carson,35
03-28,city/community,city of cerritos,1
03-29,city/community,city of cerritos,4
03-30,city/community,city of cerritos,5
03-28,city/community,city of claremont,1
03-29,city/community,city of claremont,1
03-30,city/community,city of claremont,1
03-28,city/community,city of commerce,0
03-29,city/community,city of commerce,0
03-30,city/community,city of commerce,0
03-28,city/community,city of compton,9
03-29,city/community,city of compton,11
03-30,city/community,city of compton,13
03-28,city/community,city of covina,3
03-29,city/community,city of covina,6
03-30,city/community,city of covina,8
03-28,city/community,city of cudahy,0
03-29,city/community,city of cudahy,0
03-30,city/community,city of cudahy,0
03-28,city/community,city of culver city,7
03-29,city/community,city of culver city,9
03-30,city/community,city of culver city,14
03-28,city/community,city of diamond bar,2
03-29,city/community,city of diamond bar,3
03-30,city/community,city of diamond bar,3
03-28,city/community,city of downey,18
03-29,city/community,city of downey,19
03-30,city/community,city of downey,25
03-28,city/community,city of duarte,0
03-29,city/community,city of duarte,0
03-30,city/community,city of duarte,0
03-28,city/community,city of el monte,0
03-29,city/community,city of el monte,0
03-30,city/community,city of el monte,1
03-28,city/community,city of el segundo,0
03-29,city/community,city of el segundo,0
03-30,city/community,city of el segundo,0
03-28,city/community,city of gardena,6
03-29,city/community,city of gardena,6
03-30,city/community,city of gardena,7
03-28,city/community,city of glendale,36
03-29,city/community,city of glendale,46
03-30,city/community,city of glendale,62
03-28,city/community,city of glendora,4
03-29,city/community,city of glendora,6
03-30,city/community,city of glendora,6
03-28,city/community,city of hawaiian gardens,0
03-29,city/community,city of hawaiian gardens,0
03-30,city/community,city of hawaiian gardens,0
03-28,city/community,city of hawthorne,11
03-29,city/community,city of hawthorne,11
03-30,city/community,city of hawthorne,13
03-28,city/community,city of hermosa beach,0
03-29,city/community,city of hermosa beach,6
03-30,city/community,city of hermosa beach,7
03-28,city/community,city of hidden hills,0
03-29,city/community,city of hidden hills,0
03-30,city/community,city of hidden hills,0
03-28,city/community,city of huntington park,2
03-29,city/community,city of huntington park,2
03-30,city/community,city of huntington park,4
03-28,city/community,city of industry,0
03-29,city/community,city of industry,0
03-30,city/community,city of industry,0
03-28,city/community,city of inglewood,14
03-29,city/community,city of inglewood,20
03-30,city/community,city of inglewood,26
03-28,city/community,city of irwindale,0
03-29,city/community,city of irwindale,0
03-30,city/community,city of irwindale,0
03-28,city/community,city of la canada flintridge,7
03-29,city/community,city of la canada flintridge,7
03-30,city/community,city of la canada flintridge,8
03-28,city/community,city of la habra heights,0
03-29,city/community,city of la habra heights,0
03-30,city/community,city of la habra heights,0
03-28,city/community,city of la mirada,6
03-29,city/community,city of la mirada,7
03-30,city/community,city of la mirada,7
03-28,city/community,city of la puente,2
03-29,city/community,city of la puente,3
03-30,city/community,city of la puente,3
03-28,city/community,city of la verne,1
03-29,city/community,city of la verne,1
03-30,city/community,city of la verne,2
03-28,city/community,city of lakewood,11
03-29,city/community,city of lakewood,12
03-30,city/community,city of lakewood,13
03-28,city/community,city of lancaster,19
03-29,city/community,city of lancaster,23
03-30,city/community,city of lancaster,27
03-28,city/community,city of lawndale,3
03-29,city/community,city of lawndale,4
03-30,city/community,city of lawndale,4
03-28,city/community,city of lomita,0
03-29,city/community,city of lomita,0
03-30,city/community,city of lomita,0
03-28,city/community,city of long beach,0
03-29,city/community,city of long beach,0
03-30,city/community,city of long beach,0
03-28,city/community,city of los angeles,839
03-29,city/community,city of los angeles,1020
03-30,city/community,city of los angeles,1171
03-28,city/community,city of lynwood,13
03-29,city/community,city of lynwood,14
03-30,city/community,city of lynwood,16
03-28,city/community,city of malibu,0
03-29,city/community,city of malibu,0
03-30,city/community,city of malibu,0
03-28,city/community,city of manhattan beach,23
03-29,city/community,city of manhattan beach,27
03-30,city/community,city of manhattan beach,31
03-28,city/community,city of maywood,2
03-29,city/community,city of maywood,4
03-30,city/community,city of maywood,5
03-28,city/community,city of monrovia,4
03-29,city/community,city of monrovia,4
03-30,city/community,city of monrovia,4
03-28,city/community,city of montebello,3
03-29,city/community,city of montebello,4
03-30,city/community,city of montebello,4
03-28,city/community,city of monterey park,5
03-29,city/community,city of monterey park,5
03-30,city/community,city of monterey park,5
03-28,city/community,city of norwalk,12
03-29,city/community,city of norwalk,12
03-30,city/community,city of norwalk,15
03-28,city/community,city of palmdale,6
03-29,city/community,city of palmdale,7
03-30,city/community,city of palmdale,9
03-28,city/community,city of palos verdes estates,14
03-29,city/community,city of palos verdes estates,14
03-30,city/community,city of palos verdes estates,14
03-28,city/community,city of paramount,5
03-29,city/community,city of paramount,6
03-30,city/community,city of paramount,7
03-28,city/community,city of pasadena,0
03-29,city/community,city of pasadena,0
03-30,city/community,city of pasadena,0
03-28,city/community,city of pico rivera,5
03-29,city/community,city of pico rivera,5
03-30,city/community,city of pico rivera,6
03-28,city/community,city of pomona,4
03-29,city/community,city of pomona,4
03-30,city/community,city of pomona,5
03-28,city/community,city of rancho palos verdes,8
03-29,city/community,city of rancho palos verdes,8
03-30,city/community,city of rancho palos verdes,10
03-28,city/community,city of redondo beach,24
03-29,city/community,city of redondo beach,29
03-30,city/community,city of redondo beach,34
03-28,city/community,city of rolling hills,0
03-29,city/community,city of rolling hills,0
03-30,city/community,city of rolling hills,0
03-28,city/community,city of rolling hills estates,0
03-29,city/community,city of rolling hills estates,0
03-30,city/community,city of rolling hills estates,0
03-28,city/community,city of rosemead,1
03-29,city/community,city of rosemead,2
03-30,city/community,city of rosemead,2
03-28,city/community,city of san dimas,2
03-29,city/community,city of san dimas,3
03-30,city/community,city of san dimas,3
03-28,city/community,city of san fernando,0
03-29,city/community,city of san fernando,0
03-30,city/community,city of san fernando,0
03-28,city/community,city of san gabriel,6
03-29,city/community,city of san gabriel,6
03-30,city/community,city of san gabriel,6
03-28,city/community,city of san marino,0
03-29,city/community,city of san marino,0
03-30,city/community,city of san marino,0
03-28,city/community,city of santa clarita,32
03-29,city/community,city of santa clarita,38
03-30,city/community,city of santa clarita,41
03-28,city/community,city of santa fe springs,0
03-29,city/community,city of santa fe springs,0
03-30,city/community,city of santa fe springs,0
03-28,city/community,city of santa monica,38
03-29,city/community,city of santa monica,41
03-30,city/community,city of santa monica,47
03-28,city/community,city of sierra madre,0
03-29,city/community,city of sierra madre,0
03-30,city/community,city of sierra madre,0
03-28,city/community,city of signal hill,0
03-29,city/community,city of signal hill,0
03-30,city/community,city of signal hill,0
03-28,city/community,city of south el monte,0
03-29,city/community,city of south el monte,0
03-30,city/community,city of south el monte,0
03-28,city/community,city of south gate,11
03-29,city/community,city of south gate,12
03-30,city/community,city of south gate,14
03-28,city/community,city of south pasadena,3
03-29,city/community,city of south pasadena,5
03-30,city/community,city of south pasadena,5
03-28,city/community,city of temple city,1
03-29,city/community,city of temple city,2
03-30,city/community,city of temple city,1
03-28,city/community,city of torrance,32
03-29,city/community,city of torrance,34
03-30,city/community,city of torrance,43
03-28,city/community,city of vernon,0
03-29,city/community,city of vernon,0
03-30,city/community,city of vernon,0
03-28,city/community,city of walnut,2
03-29,city/community,city of walnut,3
03-30,city/community,city of walnut,3
03-28,city/community,city of west covina,5
03-29,city/community,city of west covina,6
03-30,city/community,city of west covina,7
03-28,city/community,city of west hollywood,50
03-29,city/community,city of west hollywood,52
03-30,city/community,city of west hollywood,53
03-28,city/community,city of westlake village,0
03-29,city/community,city of westlake village,0
